year,month,day,lat,lon,presence_absence,net_mesh,net_opening,count_actual_jellyfish,density,biovolume,time_seconds_x,count_actual_humans,time_seconds_y,both_present
1934,7,26,53.95,-166.52,1,76.0,0.4819531933508312,27.0,10.384500000000001,8.213340498655192,33840.0,90,30000.0,1
1934,7,26,54.03,-166.58,1,76.0,0.4819531933508312,8.0,6.154,8.213340498655192,33840.0,47,30000.0,1
1934,7,27,54.17,-166.7,1,76.0,0.4819531933508312,4.0,1.5385,8.213340498655192,33840.0,113,30000.0,1
1934,7,27,54.32,-166.85,1,76.0,0.4819531933508312,94.0,72.308,8.213340498655192,33840.0,52,30000.0,1
1934,7,27,54.47,-167.0,1,76.0,0.4819531933508312,2.0,1.538,8.213340498655192,33840.0,52,30000.0,1
1934,7,27,55.6,-168.18,1,76.0,0.4819531933508312,113.0,86.923,8.213340498655192,33840.0,41,30000.0,1
1934,7,27,56.27,-168.88,1,76.0,0.4819531933508312,17.0,6.5385,8.213340498655192,33840.0,108,30000.0,1
1934,7,27,56.5,-169.28,1,76.0,0.4819531933508312,567.0,436.154,8.213340498655192,33840.0,54,30000.0,1
1934,7,27,56.58,-169.03,1,76.0,0.4819531933508312,109.0,83.846,8.213340498655192,33840.0,50,30000.0,1
1934,7,28,55.03,-167.58,1,76.0,0.4819531933508312,3.0,2.308,8.213340498655192,33840.0,46,30000.0,1
1934,7,28,56.77,-169.77,1,76.0,0.4819531933508312,40.0,15.385,8.213340498655192,33840.0,86,30000.0,1
1934,7,28,56.93,-169.98,1,76.0,0.4819531933508312,560.0,430.769,8.213340498655192,33840.0,44,30000.0,1
1934,7,28,57.12,-170.23,1,76.0,0.4819531933508312,1.0,1.111,8.213340498655192,33840.0,44,30000.0,1
1934,7,28,57.12,-170.17,1,76.0,0.4819531933508312,1.0,0.769,8.213340498655192,33840.0,52,30000.0,1
1934,7,29,59.73,-168.73,1,76.0,0.4819531933508312,37.0,28.462,8.213340498655192,33840.0,43,30000.0,1
1934,7,29,60.38,-168.38,1,76.0,0.4819531933508312,425.0,163.4615,8.213340498655192,33840.0,119,30000.0,1
1934,7,30,61.7,-167.62,1,76.0,0.4819531933508312,2060.0,1584.615,8.213340498655192,33840.0,46,30000.0,1
1934,7,30,62.4,-167.33,1,76.0,0.4819531933508312,973.0,374.2305,8.213340498655192,33840.0,125,30000.0,1
1934,7,30,63.67,-166.15,1,76.0,0.4819531933508312,303.0,116.5385,8.213340498655192,33840.0,87,30000.0,1
1934,7,30,64.17,-165.62,1,76.0,0.4819531933508312,49.0,44.545,8.213340498655192,33840.0,42,30000.0,1
1934,7,30,64.3,-165.55,1,76.0,0.4819531933508312,1030.0,936.364,8.213340498655192,33840.0,38,30000.0,1
1934,7,31,63.03,-166.75,1,76.0,0.4819531933508312,61.0,46.923,8.213340498655192,33840.0,50,30000.0,1
1934,7,31,65.27,-163.27,1,76.0,0.4819531933508312,2060.0,792.3075,8.213340498655192,33840.0,100,30000.0,1
1934,8,1,65.85,-169.75,1,76.0,0.4819531933508312,150.0,57.6925,8.213340498655192,33840.0,97,30000.0,1
1934,8,1,65.9,-169.87,1,76.0,0.4819531933508312,80.0,30.769,8.213340498655192,33840.0,104,30000.0,1
1934,8,1,65.9,-168.35,1,76.0,0.4819531933508312,909.0,349.6155,8.213340498655192,33840.0,104,30000.0,1
1934,8,1,65.92,-168.7,1,76.0,0.4819531933508312,202.0,77.692,8.213340498655192,33840.0,93,30000.0,1
1934,8,1,65.93,-169.08,1,76.0,0.4819531933508312,465.0,178.846,8.213340498655192,33840.0,89,30000.0,1
1934,8,1,66.23,-169.42,1,76.0,0.4819531933508312,465.0,178.846,8.213340498655192,33840.0,103,30000.0,1
1934,8,1,66.23,-168.17,1,76.0,0.4819531933508312,484.0,186.154,8.213340498655192,33840.0,113,30000.0,1
1934,8,1,66.25,-169.0,1,76.0,0.4819531933508312,1425.0,548.077,8.213340498655192,33840.0,96,30000.0,1
1934,8,1,66.77,-170.02,1,76.0,0.4819531933508312,750.0,288.4615,8.213340498655192,33840.0,90,30000.0,1
1934,8,2,66.23,-168.57,1,76.0,0.4819531933508312,1575.0,605.769,8.213340498655192,33840.0,113,30000.0,1
1934,8,4,64.35,-166.17,1,76.0,0.4819531933508312,421.0,161.923,8.213340498655192,33840.0,80,30000.0,1
1934,8,4,64.35,-165.73,1,76.0,0.4819531933508312,1166.0,896.923,8.213340498655192,33840.0,42,30000.0,1
1934,8,4,64.38,-166.55,1,76.0,0.4819531933508312,248.0,95.3845,8.213340498655192,33840.0,86,30000.0,1
